Species,Dev,Pr(>Dev),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abudefduf.bengalensis,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"attr(,""title"")",[1]
Aluterus.scriptus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Univariate Tests:
Aulopus.purpurissatus,1.278361,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodianus.bilunulatus,0.7732155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodianus.frenchii,1.917628,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodianus.perditio,5.184111,0.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carangoides.fulvoguttatus,0.6409526,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinidae.sp1,0.6409861,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus.obscurus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus.plumbeus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalopholis.miniata,0.7732155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalopholis.sonnerati,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetodon.assarius,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheilodactylus.gibbosus,2.591825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheilodactylus.rubrolabiatus,1.44819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorurus.microrhinos,3.478008,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorurus.sordidus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choerodon.cauteroma,1.278361,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choerodon.rubescens,1.620971,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysophrys.auratus,1.083807,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coris.auricularis,0.09067825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coris.aygula,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decapterus.sp1,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagramma.labiosum,0.1467211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echeneis.naucrates,0.6409861,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelides.armatus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus.bilobatus,2.591825,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus.coioides,0.4589652,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus.fasciatus,0.0114074,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus.rivulatus,0.405624,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubalichthys.caeruleoguttatus,0.07098172,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubalichthys.mosaicus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glaucosoma.hebraicum,6.850729,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnathanodon.speciosus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammatorcynus.bicarinatus,2.591825,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax.flavimarginatus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax.woodwardi,0.4589652,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemigymnus.melapterus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heterodontus.portusjacksoni,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyphosus.cornelii,9.98831,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyphosus.sydneyanus,6.482659,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagocephalus.sceleratus,7.210386,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethrinus.atkinsoni,3.188274,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethrinus.miniatus,2.175424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethrinus.nebulosus,14.91418,0.006,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethrinus.punctulatus,2.591825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethrinus.sp,5.228469,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutjanus.bitaeniatus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutjanus.bohar,0.4589652,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutjanus.lemniscatus,2.591825,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naso.unicornis,0.05954282,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orectolobus.hutchinsi,2.591825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orectolobus.sp,2.591825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parupeneus.chrysopleuron,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parupeneus.spilurus,1.200174,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorhinchus.flavomaculatus,0.03444496,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectropomus.leopardus,14.77659,0.006,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacanthus.semicirculatus,2.591825,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudocaranx.dinjerra,0.106237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudocaranx.spp,1.930661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus.frenatus,1.300073,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus.ghobban,1.274885,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus.rivulatus,0.9179303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus.rubroviolaceus,1.278361,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus.schlegeli,0.3722584,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scomberomorus.commerson,0.8088591,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scomberomorus.queenslandicus,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scomberomorus.spp,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scombridae.spp,0.4150379,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpis.georgiana,0.6390933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriola.dumerili,0.017641,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriola.hippos,2.47372,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriola.lalandi,1.369979,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphorus.nematophorus,0.6409861,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassoma.lutescens,2.591825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variola.louti,2.262852,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
