Genus.Species,Percentage of Sites
Abudefduf.bengalensis,0.230769231
Abudefduf.sexfasciatus,0.230769231
Abudefduf.vaigiensis,0.230769231
Acanthistius.serratus,0.076923077
Acanthurus.grammoptilus,0.153846154
Aluterus.scriptus,0.076923077
Amphiprion.clarkii,0.230769231
Anampses.geographicus,0.153846154
Anoplocapros.robustus,0.153846154
Antennarius.hispidus,0.076923077
Apogon.rueppellii,0.076923077
Apogon.sp1,0.076923077
Apogon.spp,0.076923077
Apogonidae.sp1,0.076923077
Aulopus.purpurissatus,0.153846154
Austrolabrus.maculatus,0.230769231
Bodianus.axillaris,0.230769231
Bodianus.bilunulatus,0.615384615
Bodianus.frenchii,0.846153846
Bodianus.perditio,0.153846154
Caesioscorpis.theagenes,0.076923077
Carangoides.fulvoguttatus,0.076923077
Carcharhinidae.sp1,0.076923077
Carcharhinus.obscurus,0.076923077
Carcharhinus.plumbeus,0.076923077
Centropyge.tibicen,0.076923077
Cephalopholis.miniata,0.384615385
Cephalopholis.sonnerati,0.076923077
Chaetodon.assarius,0.538461538
Chaetodon.aureofasciatus,0.076923077
Chaetodon.auriga,0.461538462
Chaetodon.lunula,0.846153846
Chaetodon.plebeius,0.769230769
Chaetodon.speculum,0.076923077
Chaetodon.trifascialis,0.153846154
Chaetodontoplus.personifer,0.692307692
Cheilodactylus.gibbosus,0.153846154
Cheilodactylus.rubrolabiatus,0.384615385
Chelmonops.curiosus,0.461538462
Chlorurus.microrhinos,0.769230769
Chlorurus.sordidus,0.923076923
Choerodon.cauteroma,0.230769231
Choerodon.jordani,0.384615385
Choerodon.rubescens,1
Chromis.viridis,0.076923077
Chromis.westaustralis,0.769230769
Chrysophrys.auratus,1
Cirrhilabrus.temminckii,0.307692308
Cirrhitichthys.falco,0.076923077
Coris.auricularis,1
Coris.aygula,0.076923077
Coris.caudimacula,0.153846154
Coris.dorsomacula,0.076923077
Dascyllus.aruanus,0.153846154
Dascyllus.reticulatus,0.076923077
Dascyllus.trimaculatus,0.384615385
Decapterus.sp1,0.153846154
Diagramma.labiosum,0.769230769
Echeneis.naucrates,0.230769231
Epibulus.insidiator,0.076923077
Epinephelides.armatus,0.307692308
Epinephelus.bilobatus,0.076923077
Epinephelus.coioides,0.153846154
Epinephelus.fasciatus,0.538461538
Epinephelus.rivulatus,0.692307692
Eubalichthys.caeruleoguttatus,0.384615385
Eubalichthys.cyanoura,0.076923077
Eubalichthys.mosaicus,0.076923077
Glaucosoma.hebraicum,0.615384615
Gnathanodon.speciosus,0.076923077
Gomphosus.varius,0.153846154
Grammatorcynus.bicarinatus,0.076923077
Gymnothorax.flavimarginatus,0.076923077
Gymnothorax.woodwardi,0.153846154
Hemigymnus.fasciatus,0.615384615
Hemigymnus.melapterus,0.076923077
Heniochus.acuminatus,0.076923077
Heterodontus.portusjacksoni,0.076923077
Kyphosus.cornelii,0.615384615
Kyphosus.sydneyanus,0.769230769
Labracinus.lineatus,0.923076923
Labroides.dimidiatus,0.461538462
Lagocephalus.sceleratus,0.153846154
Lethrinus.atkinsoni,0.846153846
Lethrinus.genivittatus,0.230769231
Lethrinus.miniatus,0.692307692
Lethrinus.nebulosus,0.923076923
Lethrinus.punctulatus,0.307692308
Lethrinus.sp,0.538461538
Lutjanus.bitaeniatus,0.076923077
Lutjanus.bohar,0.153846154
Lutjanus.lemniscatus,0.153846154
Lutjanus.quinquelineatus,0.153846154
Microcanthus.strigatus,0.076923077
Monacanthidae.sp1,0.076923077
Monacanthus.chinensis,0.461538462
Naso.unicornis,0.230769231
Neatypus.obliquus,0.076923077
Notolabrus.parilus,0.384615385
Orectolobus.hutchinsi,0.076923077
Orectolobus.sp,0.076923077
Parapercis.nebulosa,0.076923077
Parma.mccullochi,0.153846154
Parma.occidentalis,0.615384615
Parupeneus.chrysopleuron,0.384615385
Parupeneus.indicus,0.076923077
Parupeneus.spilurus,0.923076923
Pentapodus.nagasakiensis,0.538461538
Pentapodus.vitta,0.230769231
Platycephalus.speculator,0.076923077
Plectorhinchus.flavomaculatus,0.384615385
Plectropomus.leopardus,1
Pomacanthus.semicirculatus,0.769230769
Pomacentrus.milleri,0.846153846
Pseudocaranx.dinjerra,1
Pseudocaranx.spp,0.307692308
Pterois.volitans,0.384615385
Rhabdosargus.sarba,0.076923077
Scarus.chameleon,0.153846154
Scarus.frenatus,0.307692308
Scarus.ghobban,0.846153846
Scarus.rivulatus,0.384615385
Scarus.rubroviolaceus,0.153846154
Scarus.schlegeli,1
Scarus.sp1,0.153846154
Scomberomorus.commerson,0.538461538
Scomberomorus.queenslandicus,0.076923077
Scomberomorus.spp,0.153846154
Scombridae.spp,0.846153846
Scorpis.georgiana,0.307692308
Seriola.dumerili,0.153846154
Seriola.hippos,0.769230769
Seriola.lalandi,0.384615385
Siganus.fuscescens,0.384615385
Sphyraena.obtusata,0.076923077
Stegastes.obreptus,0.076923077
Stethojulis.strigiventer,0.076923077
Suezichthys.cyanolaemus,0.153846154
Symphorus.nematophorus,0.076923077
Thalassoma.lunare,0.692307692
Thalassoma.lutescens,0.923076923
Tilodon.sexfasciatum,0.076923077
Torquigener.sp1,0.076923077
Trachinops.brauni,0.076923077
Trachurus.novaezelandiae,0.307692308
Trygonoptera.ovalis,0.076923077
Variola.louti,0.230769231
Zebrasoma.scopas,0.230769231
Zebrasoma.veliferum,0.076923077
